Number,Is_prime
7,1
11,1
14,0
43,1
46,0
61,1
63,0
71,1
72,0
89,1
91,0
97,1
99,0
137,1
141,0
277,1
284,0
349,1
353,1
355,0
379,1
383,1
385,0
389,1
391,0
431,1
437,0
439,1
457,1
483,0
487,1
491,1
492,0
499,1
500,0
521,1
523,1
533,0
571,1
582,0
593,1
596,0
599,1
605,0
673,1
677,1
683,1
684,0
709,1
713,0
719,1
720,0
733,1
734,0
769,1
774,0
797,1
800,0
823,1
824,0
829,1
833,0
853,1
858,0
859,1
864,0
907,1
913,0
937,1
942,0
983,1
986,0
1039,1
1041,0
1087,1
1088,0
1093,1
1095,0
1187,1
1189,0
1193,1
1197,0
1223,1
1230,0
1303,1
1314,0
1433,1
1443,0
1483,1
1485,0
1487,1
1488,0
1531,1
1547,0
1583,1
1613,1
1616,0
1667,1
1670,0
1723,1
1728,0
1733,1
1736,0
1747,1
1748,0
1847,1
1850,0
1993,1
1998,0
1999,1
2003,1
2006,0
2069,1
2070,0
2083,1
2085,0
2087,1
2092,0
2179,1
2180,0
2237,1
2243,1
2247,0
2251,1
2264,0
2293,1
2295,0
2311,1
2315,0
2339,1
2344,0
2503,1
2523,0
2549,1
2553,0
2557,1
2561,0
2647,1
2650,0
2671,1
2672,0
2693,1
2697,0
2719,1
2721,0
2729,1
2730,0
2749,1
2758,0
2833,1
2834,0
2917,1
2922,0
2953,1
2956,0
3019,1
3023,1
3025,0
3049,1
3053,0
3187,1
3191,1
3192,0
3217,1
3219,0
3229,1
3230,0
3257,1
3262,0
3329,1
3333,0
3361,1
3363,0
3373,1
3381,0
3461,1
3470,0
3511,1
3515,0
3559,1
3560,0
3673,1
3674,0
3697,1
3701,1
3705,0
3847,1
3854,0
3881,1
3884,0
3929,1
3930,0
4003,1
4010,0
4013,1
4018,0
4111,1
4115,0
4133,1
4136,0
4153,1
4154,0
4327,1
4337,1
4340,0
4457,1
4461,0
4493,1
4502,0
4507,1
4511,0
4621,1
4623,0
4657,1
4659,0
4721,1
4722,0
4723,1
4727,0
4759,1
4770,0
4817,1
4827,0
4831,1
4832,0
4877,1
4878,0
4933,1
4934,0
4987,1
4989,0
5003,1
5008,0
5023,1
5028,0
5039,1
5040,0
5081,1
5083,0
5107,1
5114,0
5273,1
5274,0
5323,1
5330,0
5387,1
5392,0
5407,1
5412,0
5419,1
5421,0
5437,1
5440,0
5441,1
5445,0
5479,1
5482,0
5483,1
5489,0
5501,1
5513,0
5531,1
5544,0
5581,1
5584,0
5639,1
5643,0
5657,1
5669,1
5671,0
5801,1
5802,0
5807,1
5809,0
5857,1
5865,0
5939,1
5940,0
6011,1
6014,0
6043,1
6044,0
6067,1
6069,0
6073,1
6074,0
6113,1
6116,0
6151,1
6153,0
6229,1
6230,0
6263,1
6264,0
6301,1
6307,0
6311,1
6314,0
6379,1
6386,0
6389,1
6391,0
6397,1
6401,0
6421,1
6423,0
6449,1
6469,1
6474,0
6521,1
6523,0
6577,1
6580,0
6637,1
6659,1
6660,0
6703,1
6721,0
6737,1
6743,0
6803,1
6807,0
6869,1
6871,1
6885,0
6907,1
6932,0
6959,1
6963,0
7001,1
7005,0
7039,1
7042,0
7043,1
7045,0
7069,1
7073,0
7109,1
7112,0
7129,1
7135,0
7151,1
7155,0
7177,1
7178,0
7187,1
7194,0
7211,1
7218,0
7229,1
7234,0
7237,1
7241,0
7243,1
7246,0
7253,1
7256,0
7331,1
7339,0
7457,1
7460,0
7529,1
7532,0
7541,1
7547,1
7556,0
7577,1
7581,0
7621,1
7623,0
7639,1
7640,0
7649,1
7655,0
7691,1
7693,0
7717,1
7725,0
7753,1
7769,0
7817,1
7821,0
7883,1
7885,0
7933,1
7937,1
7946,0
7949,1
7950,0
8039,1
8049,0
8069,1
8073,0
8081,1
8092,0
8093,1
8098,0
8167,1
8169,0
8179,1
8188,0
8231,1
8242,0
8263,1
8266,0
8297,1
8303,0
8363,1
8365,0
8387,1
8392,0
8423,1
8425,0
8447,1
8450,0
8543,1
8547,0
8563,1
8574,0
8581,1
8582,0
8597,1
8602,0
8647,1
8654,0
8669,1
8670,0
8677,1
8684,0
8693,1
8697,0
8699,1
8703,0
8707,1
8720,0
8803,1
8805,0
8819,1
8842,0
8861,1
8862,0
9007,1
9008,0
9011,1
9015,0
9029,1
9033,0
9067,1
9068,0
9109,1
9113,0
9157,1
9158,0
9173,1
9178,0
9209,1
9214,0
9283,1
9292,0
9311,1
9317,0
9319,1
9320,0
9337,1
9338,0
9341,1
9345,0
9431,1
9435,0
9473,1
9475,0
9587,1
9593,0
9787,1
9796,0
10093,1
10101,0
10151,1
10152,0
10169,1
10179,0
